Date,Open,High,Low,Close,Volume
2021-01-05,1090.71,1106.29,1086.07,1104.3,203458648.0
2021-01-06,1104.3,1125.63,1104.3,1113.72,250695511.0
2021-01-07,1113.72,1130.59,1113.72,1130.59,221891992.0
2021-01-08,1131.0,1156.38,1131.0,1147.86,234919552.0
2021-01-11,1148.06,1165.99,1148.06,1163.4,234552304.0
2021-01-12,1163.4,1169.38,1155.9,1169.03,209426800.0
2021-01-13,1169.03,1178.44,1161.87,1164.57,240310961.0
2021-01-14,1164.57,1169.97,1156.58,1168.99,238477312.0
2021-01-15,1168.99,1185.46,1168.99,1182.2,257128485.0
2021-01-18,1182.2,1188.53,1171.96,1173.34,206627904.0
2021-01-19,1173.34,1173.61,1098.47,1107.32,349824702.0
2021-01-20,1108.92,1121.97,1073.13,1116.21,266825184.0
2021-01-21,1116.21,1152.9,1114.26,1149.53,197730710.0
2021-01-22,1151.3,1164.45,1147.88,1153.62,199586000.0
2021-01-25,1156.58,1164.7,1149.26,1154.44,191270700.0
2021-01-26,1154.29,1155.32,1107.54,1123.29,236321000.0
2021-01-27,1116.47,1125.25,1073.74,1082.37,239582100.0
2021-01-28,1080.83,1080.83,1008.53,1008.77,286043100.0
2021-01-29,1010.75,1070.05,978.85,1063.79,236077550.0
2021-02-01,1052.43,1068.93,1029.21,1039.15,164502900.0
2021-02-02,1029.86,1079.87,1025.18,1078.79,158529800.0
2021-02-03,1079.7,1122.04,1079.7,1115.65,198425900.0
2021-02-04,1117.98,1126.64,1103.11,1115.6,149189200.0
2021-02-05,1117.74,1135.5,1117.74,1135.5,143531527.0
2021-02-08,1135.5,1136.38,1077.4,1092.59,232428804.0
2021-02-09,1092.67,1129.49,1089.85,1129.49,178676604.0
2021-02-17,1129.49,1174.91,1129.49,1174.91,182355708.0
2021-02-18,1174.8,1187.94,1162.48,1187.94,191962240.0
2021-02-19,1187.94,1188.61,1168.18,1180.59,176177552.0
2021-02-22,1180.59,1190.48,1172.71,1180.55,184320740.0
2021-02-23,1180.38,1191.74,1174.18,1182.47,208771132.0
2021-02-24,1182.47,1192.04,1161.13,1167.18,183127920.0
2021-02-25,1167.18,1175.19,1158.06,1169.82,164060228.0
2021-02-26,1169.82,1175.33,1153.41,1172.51,185518880.0
2021-03-01,1173.6,1192.85,1173.6,1191.83,205524600.0
2021-03-02,1192.6,1203.84,1188.01,1194.71,177271989.0
2021-03-03,1194.71,1198.36,1189.14,1195.6,163986810.0
2021-03-04,1195.6,1200.42,1164.76,1174.29,194497996.0
2021-03-05,1174.29,1174.8,1157.45,1173.83,214876176.0
2021-03-08,1173.83,1186.29,1164.78,1170.0,170892268.0
2021-03-09,1170.0,1170.0,1150.18,1163.0,170852604.0
2021-03-10,1163.0,1173.58,1154.29,1172.26,167226384.0
2021-03-11,1172.94,1190.47,1172.94,1188.71,178613904.0
2021-03-12,1188.71,1193.97,1184.64,1187.81,161220988.0
2021-03-15,1187.81,1194.29,1184.32,1190.86,159517296.0
2021-03-16,1191.08,1192.15,1177.05,1187.84,188447836.0
2021-03-17,1187.84,1193.45,1183.83,1193.45,208184052.0
2021-03-18,1193.71,1211.54,1193.71,1211.54,170094208.0
2021-03-19,1211.54,1211.54,1201.17,1203.36,184741284.0
2021-03-22,1203.36,1207.28,1194.79,1198.54,183953120.0
2021-03-23,1198.54,1198.54,1182.22,1186.98,164349332.0
2021-03-24,1186.98,1186.98,1157.69,1165.61,241590856.0
2021-03-25,1165.8,1175.86,1159.25,1164.64,180089796.0
2021-03-26,1164.38,1170.75,1143.08,1167.19,326292448.0
2021-03-29,1167.3,1182.06,1167.3,1180.07,174531680.0
2021-03-30,1180.21,1192.9,1175.9,1190.86,227795008.0
2021-03-31,1190.86,1203.18,1189.47,1196.24,185091992.0
2021-04-01,1196.24,1227.56,1196.24,1226.16,235388896.0
2021-04-02,1226.84,1243.67,1226.84,1238.03,207898192.0
2021-04-05,1238.03,1256.12,1238.03,1249.9,231499904.0
2021-04-06,1248.43,1260.35,1245.16,1255.36,230228176.0
2021-04-07,1255.36,1257.77,1248.15,1257.77,229594920.0
2021-04-08,1257.75,1263.03,1249.45,1251.81,165695200.0
2021-04-09,1251.81,1256.06,1245.26,1253.26,208065596.0
2021-04-12,1253.26,1279.52,1253.26,1278.19,284696512.0
2021-04-13,1278.19,1298.78,1276.74,1277.35,278622516.0
2021-04-14,1277.35,1290.77,1263.89,1290.77,213792300.0
2021-04-15,1290.77,1300.84,1283.98,1284.2,248641492.0
2021-04-16,1284.2,1291.37,1262.52,1276.87,261382436.0
